가구원수,가구형태,주거점유형태,주거면적,부채규모,수급여부,총소득,인당_주거면적,소득_대비_부채비율,면적당_소득
2.0,5.0,1.0,50.0,0.0,0,2520.0,25.0,0.0,49.411764705882355
2.0,5.0,1.0,106.0,0.0,0,795.0,53.0,0.0,7.429906542056075
2.0,5.0,2.0,59.0,6200.0,0,1548.0,29.5,4.002582311168496,25.8
4.0,5.0,1.0,56.0,5880.0,0,12970.0,14.0,0.4533189422558014,227.5438596491228
2.0,5.0,1.0,89.0,0.0,0,740.0,44.5,0.0,8.222222222222221
2.0,5.0,1.0,109.0,958.0,0,5680.0,54.5,0.16863228304875902,51.63636363636363
5.0,5.0,3.0,79.0,1053.0,0,17280.0,15.8,0.0609339737283722,216.0
2.0,5.0,1.0,79.0,0.0,0,500.0,39.5,0.0,6.25
1.0,1.0,1.0,92.0,0.0,0,1800.0,92.0,0.0,19.35483870967742
3.0,5.0,1.0,99.0,0.0,0,4705.0,33.0,0.0,47.05
2.0,5.0,1.0,106.0,0.0,0,4785.0,53.0,0.0,44.7196261682243
3.0,5.0,1.0,96.0,3400.0,0,4870.0,32.0,0.6980086224594539,50.20618556701031
1.0,1.0,1.0,106.0,8532.0,0,470.0,106.0,18.11464968152866,4.392523364485982
4.0,5.0,1.0,106.0,6939.0,0,9700.0,26.5,0.7152870838057932,90.65420560747664
3.0,5.0,2.0,82.0,16000.0,0,6140.0,27.333333333333332,2.605438853606904,73.97590361445783
2.0,5.0,1.0,79.0,7883.0,0,240.0,39.5,32.70954356846473,3.0
2.0,5.0,5.0,106.0,0.0,0,255.0,53.0,0.0,2.383177570093458
1.0,1.0,5.0,66.0,0.0,0,290.0,66.0,0.0,4.3283582089552235
1.0,1.0,1.0,89.0,0.0,0,0.0,89.0,0.0,0.0
2.0,5.0,1.0,119.0,0.0,0,360.0,59.5,0.0,3.0
5.0,5.0,2.0,59.0,11760.0,0,4746.0,11.8,2.4773541183905623,79.1
1.0,1.0,2.0,79.0,0.0,0,305.0,79.0,0.0,3.8125
1.0,1.0,1.0,66.0,0.0,0,2540.0,66.0,0.0,37.91044776119403
2.0,5.0,1.0,106.0,4000.0,0,2656.0,53.0,1.5054572826496049,24.822429906542055
2.0,5.0,2.0,66.0,0.0,0,13600.0,33.0,0.0,202.98507462686567
2.0,5.0,2.0,50.0,2000.0,0,761.0,25.0,2.6246719160104988,14.92156862745098
3.0,5.0,1.0,106.0,10000.0,0,18200.0,35.333333333333336,0.5494203615185979,170.09345794392524
3.0,5.0,1.0,69.0,15000.0,0,6107.0,23.0,2.4557956777996073,87.24285714285715
1.0,1.0,1.0,66.0,0.0,0,150.0,66.0,0.0,2.2388059701492535
2.0,5.0,1.0,89.0,0.0,0,514.0,44.5,0.0,5.711111111111111
1.0,1.0,5.0,50.0,0.0,0,0.0,50.0,0.0,0.0
2.0,5.0,1.0,82.0,0.0,0,1756.0,41.0,0.0,21.156626506024097
4.0,5.0,1.0,99.0,0.0,0,12379.0,24.75,0.0,123.79
2.0,5.0,1.0,96.0,31000.0,0,0.0,48.0,31000.0,0.0
2.0,5.0,1.0,96.0,0.0,0,6526.0,48.0,0.0,67.27835051546391
2.0,5.0,3.0,36.0,0.0,1,1746.0,18.0,0.0,47.189189189189186
1.0,1.0,1.0,92.0,13800.0,0,3760.0,92.0,3.669236905078437,40.43010752688172
2.0,5.0,1.0,50.0,0.0,0,374.0,25.0,0.0,7.333333333333333
4.0,5.0,1.0,99.0,22529.0,0,11260.0,24.75,2.0006216144214544,112.6
